,timestamp,open,high,low,close,volume
500,2018-01-01 15:00:00.000,742.41,752.27,738.37,748.8,2534.25088
501,2018-01-01 16:00:00.000,748.27,748.91,733.0,739.08,1888.00762
502,2018-01-01 17:00:00.000,739.25,747.18,735.59,737.02,2244.68377
503,2018-01-01 18:00:00.000,737.01,743.58,734.0,742.98,1626.99167
504,2018-01-01 19:00:00.000,742.98,749.98,741.64,746.23,1997.32056
505,2018-01-01 20:00:00.000,746.23,758.25,744.39,757.42,1982.94137
506,2018-01-01 21:00:00.000,757.42,762.62,756.51,759.28,1990.76184
507,2018-01-01 22:00:00.000,759.0,760.99,752.04,754.58,1624.19188
508,2018-01-01 23:00:00.000,754.56,757.73,750.46,754.99,2099.32404
509,2018-01-02 00:00:00.000,754.99,786.55,749.06,784.74,4718.8579
510,2018-01-02 01:00:00.000,784.75,870.0,780.32,854.29,7055.00228
511,2018-01-02 02:00:00.000,850.25,899.5,827.0,857.94,16133.91684
512,2018-01-02 03:00:00.000,857.94,857.98,825.25,826.92,7034.13801
513,2018-01-02 04:00:00.000,827.0,850.0,817.0,833.99,6908.16869
514,2018-01-02 05:00:00.000,833.99,855.26,833.72,842.23,3645.75721
515,2018-01-02 06:00:00.000,842.25,857.0,842.22,846.09,2620.71308
516,2018-01-02 07:00:00.000,846.99,852.0,841.99,847.6,2403.53204
517,2018-01-02 08:00:00.000,847.6,847.6,835.85,836.42,3246.55839
518,2018-01-02 09:00:00.000,837.87,840.0,825.11,837.05,3004.66842
519,2018-01-02 10:00:00.000,837.06,849.9,836.21,848.5,2683.44402
520,2018-01-02 11:00:00.000,848.26,853.97,843.18,849.1,3185.28825
521,2018-01-02 12:00:00.000,849.57,854.5,840.0,843.15,3355.84215
522,2018-01-02 13:00:00.000,843.15,861.95,835.83,861.95,4374.01134
523,2018-01-02 14:00:00.000,861.93,866.65,850.0,856.93,3594.43589
524,2018-01-02 15:00:00.000,856.92,866.12,855.8,865.56,5074.67601
525,2018-01-02 16:00:00.000,865.56,878.0,860.0,862.0,4937.60733
526,2018-01-02 17:00:00.000,862.0,867.8,858.48,867.68,3146.56855
527,2018-01-02 18:00:00.000,867.69,874.34,831.14,854.93,5948.75213
528,2018-01-02 19:00:00.000,854.71,854.93,810.0,850.97,8582.85517
529,2018-01-02 20:00:00.000,850.94,855.0,831.0,853.47,3554.40921
530,2018-01-02 21:00:00.000,853.45,869.41,849.73,860.53,3270.27506
531,2018-01-02 22:00:00.000,860.57,864.48,835.52,852.56,2488.78007
